model,job_id,run,epoch,E_mae_meV_per_atom,F_mae_meV_per_A,S_mae_meV_scale,S_unit_note,source
MACE,9508496,mace_moff_off_TEST,0,2934.66,520.01,104.27,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,1,1051.32,374.89,59.78,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,2,571.33,289.23,38.57,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,3,339.75,249.73,29.91,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,4,267.57,225.08,21.95,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,5,222.32,208.78,17.63,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,6,199.02,194.1,16.83,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,7,151.31,185.75,13.2,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,8,150.62,179.76,13.36,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE,9508496,mace_moff_off_TEST,9,135.34,169.94,11.42,"stress MAE, meV/A^3",runs/mace/mace_moff_off/logs/mace_moff_9508496.out
UMA,9509372,uma-s-1p1_mof_off_r2scan_d4_efs_20260610,0,27.0,247.79999999999998,2.6,"stress MAE, meV/A^3",runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
UMA,9509372,uma-s-1p1_mof_off_r2scan_d4_efs_20260610,1,21.4,162.1,2.2,"stress MAE, meV/A^3",runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
UMA,9509372,uma-s-1p1_mof_off_r2scan_d4_efs_20260610,2,9.9,57.6,1.7,"stress MAE, meV/A^3",runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
UMA,9509372,uma-s-1p1_mof_off_r2scan_d4_efs_20260610,3,7.5,42.3,1.6,"stress MAE, meV/A^3",runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
UMA,9509372,uma-s-1p1_mof_off_r2scan_d4_efs_20260610,4,6.8999999999999995,37.699999999999996,1.6,"stress MAE, meV/A^3",runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
UMA,9509372,uma-s-1p1_mof_off_r2scan_d4_efs_20260610,5,6.4,35.3,1.6,"stress MAE, meV/A^3",runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
UMA,9509372,uma-s-1p1_mof_off_r2scan_d4_efs_20260610,6,6.3,34.8,1.6,"stress MAE, meV/A^3",runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
UPET,9508736,upet_moff_off_test,0,29.014,138.1,32.7,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,1,33.171,117.67,34.191,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,2,14.956,104.12,26.506,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,3,19.083,101.48,27.447,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,4,10.355,95.1,24.67,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,5,11.897,92.74,26.424,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,6,11.13,89.87,24.389,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,7,10.344,88.24,24.597,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,8,9.033,87.78,24.153,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9508736,upet_moff_off_test,9,9.007,87.67,24.228,"virial MAE, meV/atom",runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
