label,epoch,E_meV_atom,F_meV_A,S_meV_scale,source
UPET,0,29.014,138.1,32.7,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,1,33.171,117.67,34.191,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,2,14.956,104.12,26.506,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,3,19.083,101.48,27.447,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,4,10.355,95.1,24.67,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,5,11.897,92.74,26.424,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,6,11.13,89.87,24.389,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,7,10.344,88.24,24.597,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,8,9.033,87.78,24.153,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
UPET,9,9.007,87.67,24.228,runs/upet/upet_moff_off_test/outputs/2026-06-10/12-12-49/train.csv
MACE_original,0,2934.66,520.01,104.27,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,1,1051.32,374.89,59.78,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,2,571.33,289.23,38.57,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,3,339.75,249.73,29.91,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,4,267.57,225.08,21.95,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,5,222.32,208.78,17.63,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,6,199.02,194.1,16.83,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,7,151.31,185.75,13.2,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,8,150.62,179.76,13.36,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_original,9,135.34,169.94,11.42,runs/mace/mace_moff_off/logs/mace_moff_9508496.out
MACE_estimated_E_d,0,20.92,154.19,3.28,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
MACE_estimated_E_d,1,19.75,141.77,3.36,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
MACE_estimated_E_d,2,18.88,134.67,3.27,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
MACE_estimated_E_d,3,18.67,129.43,3.16,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
MACE_estimated_E_d,4,18.31,125.55,3.1,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
MACE_estimated_E_d,5,18.22,122.31,3.03,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
MACE_estimated_E_d,6,18.08,119.61,3.02,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
MACE_estimated_E_d,7,18.07,117.37,3.02,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
MACE_estimated_E_d,8,17.98,115.48,2.99,runs/mace/mof_off_ft_test/test_5_average_E/logs/mace_moff_d_9585056.out
UMA,0,27.0,247.79999999999998,2.6,runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
UMA,1,21.4,162.1,2.2,runs/uma/moff_off_test2/uma-s-1p1_mof_off_r2scan_d4_efs_20260610/logs/wandb/run-20260610_121510-uma-s-1p1_mof_off_r2scan_d4_efs_20260610/files/output.log
